"Id","SalePrice"
1461,129429.549247016
1462,164702.876560975
1463,167429.828201829
1464,180311.787436703
1465,233365.876404055
1466,168723.382164878
1467,162705.895348035
1468,157396.664097065
1469,212756.876735693
1470,122787.596363956
1471,160068.206056954
1472,100142.975766655
1473,99124.1028204424
1474,152742.113069161
1475,133639.011822484
1476,375865.634112004
1477,262011.270834699
1478,342121.536913095
1479,304637.664498078
1480,435441.716582998
1481,306661.850073683
1482,223017.473645029
1483,180581.461409248
1484,167799.430293947
1485,194305.346805391
1486,197811.945393413
1487,346137.561504273
1488,229312.575222654
1489,209116.528328517
1490,248870.486620511
1491,203215.658299173
1492,110977.342256479
1493,175043.263835551
1494,309005.28638099
1495,307272.170105863
1496,222776.731763367
1497,180052.796915467
1498,163969.754747493
1499,157324.350646654
1500,149758.425200254
1501,164272.662915922
1502,149312.184349877
1503,270809.153859897
1504,245647.63609973
1505,220418.377770731
1506,185200.155596766
1507,242895.867848714
1508,196012.472853253
1509,165229.88988097
1510,141126.678484674
1511,142986.575574597
1512,178476.404514791
1513,157626.392673519
1514,134431.445794737
1515,191246.633375531
1516,150870.079933889
1517,175636.456006573
1518,121570.433852335
1519,198067.598922646
1520,135937.374477478
1521,140916.336125446
1522,174189.959406813
1523,123197.571272699
1524,119417.585047561
1525,125790.128656638
1526,97786.1239628058
1527,97118.5614733806
1528,130891.73891225
1529,134777.600589258
1530,197812.578263772
1531,115775.073729091
1532,96975.3245472003
1533,148703.37793824
1534,114528.422130416
1535,152148.691638843
1536,103919.409065571
1537,48297.0754795353
1538,153870.848912941
1539,200756.62200587
1540,141090.919828955
1541,124479.076658969
1542,153503.813226028
1543,198682.58419303
1544,104569.625832132
1545,120008.322943042
1546,130770.37857287
1547,155650.889641417
1548,147777.458411895
1549,116108.305283696
1550,141403.38592963
1551,115252.22335552
1552,143614.317912346
1553,151314.502708482
1554,113490.980683708
1555,174209.573743415
1556,122187.193270963
1557,103777.794514501
1558,109184.650509776
1559,124862.997291508
1560,139159.632540695
1561,127108.385278907
1562,135102.056243014
1563,123524.956593771
1564,135045.469495391
1565,137037.3483915
1566,225306.896613848
1567,86211.0529544255
1568,212833.580816727
1569,120776.399062639
1570,125880.782197377
1571,93348.3931860694
1572,130040.633326409
1573,226614.724825883
1574,130257.894652563
1575,246647.866036982
1576,198818.151927151
1577,183475.916381982
1578,135231.869335323
1579,146112.470649638
1580,184612.819629943
1581,143340.651944858
1582,138112.857665788
1583,256638.790274162
1584,216693.123347573
1585,138688.173312313
1586,56204.5606234078
1587,90379.2770744574
1588,155116.650355944
1589,85861.3673087835
1590,126429.936347379
1591,99183.8792803161
1592,117724.620380157
1593,120450.449604156
1594,182662.609931299
1595,139777.156239412
1596,229932.323773653
1597,205229.980861681
1598,234323.52966627
1599,213156.701688212
1600,194093.467868299
1601,55552.9215645382
1602,128456.251859572
1603,80865.2579798243
1604,291021.853449793
1605,226075.703355138
1606,155484.106784019
1607,158454.845341015
1608,190168.174271383
1609,190347.813880371
1610,150801.581937506
1611,138568.434188594
1612,188272.084867694
1613,148895.114145079
1614,134826.573503058
1615,81516.7061637913
1616,79877.4333922499
1617,83468.5320561612
1618,122503.501774559
1619,139425.334071173
1620,185424.108224169
1621,136479.40485664
1622,152090.584057595
1623,261309.087452359
1624,197106.351543044
1625,128361.606535716
1626,163065.504192581
1627,173275.870628315
1628,286768.712945023
1629,189244.34560892
1630,331936.379036605
1631,232026.28547973
1632,253433.707844583
1633,181282.7882877
1634,174640.310406876
1635,175395.817280187
1636,161575.865408822
1637,187408.000250461
1638,192911.148777993
1639,179445.942977534
1640,244034.709401801
1641,186082.598882255
1642,255210.059222804
1643,241134.561427708
1644,241760.359542889
1645,212785.093505397
1646,157076.326607968
1647,168925.20960005
1648,131762.655544918
1649,130418.946569383
1650,108708.806436811
1651,116626.326276129
1652,101708.498526309
1653,99941.8552585679
1654,147854.75030975
1655,148547.518364164
1656,142660.297551985
1657,148574.549917039
1658,146273.329224605
1659,140305.390367429
1660,140197.847687279
1661,406669.889055817
1662,405971.790598618
1663,382829.235009174
1664,449231.318982537
1665,348978.221061929
1666,327431.59954505
1667,345138.377814
1668,367199.30346874
1669,351050.235268015
1670,365063.65906112
1671,255105.162350678
1672,398297.671510242
1673,291188.832234451
1674,254846.452045094
1675,199022.294183671
1676,196246.928101444
1677,204325.321625492
1678,426957.309562295
1679,365210.705303326
1680,342696.090443488
1681,305793.294508038
1682,320042.996692567
1683,193429.8627648
1684,183762.030239274
1685,181876.828445961
1686,171077.852099462
1687,197156.606360923
1688,190948.321810307
1689,197871.8802756
1690,190060.037611814
1691,180559.173995177
1692,261715.742809728
1693,199782.392769255
1694,167624.578530831
1695,177248.30167332
1696,239369.54056745
1697,178206.810761177
1698,345965.645768376
1699,306613.009817
1700,277474.85114842
1701,305573.070510219
1702,253111.424383571
1703,242978.04213373
1704,265427.941315402
1705,261380.733943689
1706,417837.326922648
1707,237627.608699508
1708,209444.623078289
1709,288578.518974323
1710,231529.105818994
1711,267366.596632822
1712,258421.630258508
1713,255538.530734917
1714,223267.815891794
1715,215630.526703209
1716,183389.072318017
1717,179104.244802783
1718,164199.653299103
1719,231058.676352468
1720,249638.490412153
1721,179123.247463214
1722,156151.911099398
1723,164265.598320804
1724,201588.334241973
1725,227419.911895347
1726,195560.703727517
1727,145267.1176619
1728,186119.164163478
1729,156610.67788812
1730,158464.577195972
1731,120891.616722359
1732,120695.606410797
1733,123059.374563315
1734,117485.135381247
1735,135769.176266878
1736,117281.804740318
1737,302699.327865507
1738,258265.355860289
1739,253627.231943305
1740,192836.834838143
1741,172752.068549897
1742,164705.075629951
1743,172244.619466579
1744,305229.859269204
1745,233519.054989997
1746,263503.782283389
1747,217260.472889786
1748,235832.619677261
1749,161063.131036663
1750,156090.761023525
1751,230811.519811864
1752,122333.71921668
1753,150134.345530603
1754,202120.752731852
1755,168283.526884838
1756,119462.625452662
1757,118024.670079543
1758,142164.851296406
1759,162865.413681529
1760,155130.203160199
1761,140576.190728818
1762,178668.599342814
1763,190870.792547406
1764,119056.895526842
1765,181095.010036348
1766,182551.887240829
1767,203572.402345417
1768,139936.780646
1769,162150.782888289
1770,148847.5490055
