"Id","SalePrice"
1461,133050
1462,178810
1463,174930
1464,167360
1465,121578
1466,168617.5
1467,139845
1468,137342.2
1469,161734
1470,116454.1
1471,138564.6
1472,103700
1473,101640
1474,153540
1475,110840
1476,163858.7
1477,197437.3
1478,226281.8
1479,238923
1480,326237.4
1481,240893.3
1482,136843.7
1483,163680
1484,183031.5
1485,177938.7
1486,162912.2
1487,170083.2
1488,187948.7
1489,158716.7
1490,174090
1491,179670
1492,125592.5
1493,213691.7
1494,216738.7
1495,242140
1496,184290
1497,143805.6
1498,147388.9
1499,135809.090909091
1500,135640
1501,156788.5
1502,123190
1503,184630
1504,169250
1505,158055
1506,203449.3
1507,264565
1508,190037
1509,147450
1510,144540
1511,148975
1512,166230
1513,193000
1514,211550
1515,185707.8
1516,159099.7
1517,150825
1518,169910
1519,189570
1520,138545
1521,132300
1522,178710
1523,119199
1524,117500
1525,113170
1526,151895
1527,132020
1528,142090
1529,142735
1530,165085
1531,125103.4
1532,122204.545454545
1533,99704.6
1534,139290
1535,171750
1536,110640
1537,124367.5
1538,146750
1539,228147.7
1540,228147.7
1541,138475
1542,128635
1543,166110
1544,89738
1545,106080
1546,111880
1547,138905
1548,120330
1549,106730
1550,133355
1551,107714.6
1552,181450
1553,205768.7
1554,152238.5
1555,233668.5
1556,137475
1557,148975
1558,99580
1559,131910
1560,131075
1561,189965
1562,133680
1563,117780
1564,157295
1565,173148.5
1566,240362.4
1567,100961.1
1568,215859.7
1569,174540
1570,139224.1
1571,143098.2
1572,146375
1573,169980
1574,185024.1
1575,157675
1576,197510
1577,134455
1578,212891
1579,144605
1580,180950
1581,206918
1582,117700
1583,199380
1584,210850
1585,126425
1586,94621.1
1587,101449.3
1588,153435
1589,139100
1590,106425
1591,108375
1592,141778
1593,112100
1594,167645.3
1595,142550
1596,209815
1597,241765.8
1598,195097
1599,146750
1600,163450.1
1601,94080
1602,129894
1603,98639.3
1604,183703.9
1605,205940
1606,159030
1607,217987.3
1608,194530.8
1609,141202.5
1610,145450
1611,217052.5
1612,206163.3
1613,185662.8
1614,125550
1615,106250
1616,95750
1617,95850
1618,116170
1619,128415
1620,164460
1621,144990
1622,151815
1623,171490
1624,201478.7
1625,138520
1626,176885
1627,184755
1628,209625
1629,147989
1630,216551.1
1631,155542.2
1632,187166.1
1633,156734
1634,164465
1635,180560
1636,130825
1637,201520
1638,200188.7
1639,215260
1640,275503.2
1641,203720
1642,154830
1643,165845
1644,174919
1645,188687.2
1646,138375
1647,158029.1
1648,151540
1649,117465.8
1650,122980
1651,103500
1652,100440
1653,100600
1654,151700
1655,125074
1656,143350
1657,152100
1658,134100
1659,105000
1660,126420
1661,331343.3
1662,295951.9
1663,215030
1664,316807.6
1665,224884.6
1666,202200
1667,244826.5
1668,200365
1669,165500
1670,192500
1671,203340
1672,299878.5
1673,256488
1674,187459.8
1675,155625
1676,164740
1677,165280
1678,316469.8
1679,299878.5
1680,182038.3
1681,153601.454545455
1682,189410
1683,188114.5
1684,159883.5
1685,163044
1686,183031.5
1687,152390
1688,179890
1689,164827.5
1690,157700
1691,167130
1692,213878.7
1693,145450
1694,171189
1695,167085
1696,264687.3
1697,166190
1698,275853.2
1699,202195
1700,200750
1701,213455
1702,200620.5
1703,213899.3
1704,187340
1705,188515.7
1706,250640
1707,163920
1708,187402
1709,194427.3
1710,164520.181818182
1711,174515
1712,179276.1
1713,196830
1714,191940
1715,181040
1716,149512.7
1717,137955
1718,137955
1719,207530
1720,208314.3
1721,160055
1722,160055
1723,137455
1724,149672.2
1725,207520
1726,157850
1727,135117.2
1728,174844
1729,151377.5
1730,172790
1731,124692.5
1732,119454.1
1733,127305
1734,126515
1735,118550
1736,107540
1737,245838.5
1738,169960
1739,153100
1740,190463.727272727
1741,156840
1742,156788.5
1743,148930.4
1744,229983.2
1745,232041.7
1746,201450
1747,195310
1748,241830
1749,160160
1750,161090
1751,241123.3
1752,117030
1753,193468.8
1754,189740
1755,188390
1756,123500
1757,113000
1758,164935
1759,199460
1760,167485.2
1761,158540
1762,218797.7
1763,173375.5
1764,122942.5
1765,171540
1766,170540
1767,205633.2
1768,139600
1769,156498
1770,129895
1771,144551.7
1772,193820.4
1773,146914
1774,198192.5
1775,128030
1776,148955
1777,119614.1
1778,132560
1779,152412.7
1780,177670
1781,123592.5
1782,94428
1783,150683.5
1784,110040
1785,145879
1786,176839
1787,159990
1788,97708
1789,105260
1790,105385
1791,228000
1792,179484
1793,146775
1794,113700
1795,132585
1796,130411.9
1797,134560
1798,116600
1799,118530
1800,152870
1801,169558.5
1802,133820
1803,157485
1804,128690.8
1805,135595
1806,130243.4
1807,191392.5
1808,197131.5
1809,155440
1810,126220
1811,153135
1812,158777.5
1813,113180
1814,109000
1815,99360
1816,98630
1817,140600
1818,168390
1819,141805.6
1820,161782.5
1821,94088
1822,140950
1823,113130
1824,161786.6
1825,130983.4
1826,106180
1827,103215
1828,129340
1829,106589.3
1830,176540
1831,138800
1832,151550
1833,152585.3
1834,107000
1835,120870
1836,116488
1837,101988
1838,154377.5
1839,89475
1840,140275
1841,137250
1842,137850
1843,137750
1844,122740
1845,199731.5
1846,197908.5
1847,260484.4
1848,92831.1
1849,205359.3
1850,120917.5
1851,171440
1852,127680
1853,132015
1854,112195
1855,185197
1856,198215
1857,186615
1858,146685.3
1859,159661.6
1860,132185
1861,159661.6
1862,252352.9
1863,192093.5
1864,192093.5
1865,177100
1866,185880
1867,190265.7
1868,202225
1869,155625
1870,153990
1871,184353.3
1872,179730
1873,235424
1874,132340
1875,215685.4
1876,183370
1877,161540
1878,209334.1
1879,173990
1880,124780
1881,163275
1882,254393.2
1883,173510
1884,197230
1885,218168.5
1886,203340
1887,163200
1888,187340
1889,171748.5
1890,114445
1891,144370.1
1892,105375
1893,157075
1894,215320
1895,187278.3
1896,136690
1897,122405
1898,100010
1899,148983
1900,143630
1901,181430
1902,207643.2
1903,182283.5
1904,126988.5
1905,190710
1906,206731.5
1907,195780
1908,100150
1909,104540
1910,102800
1911,174630
1912,210380
1913,168760
1914,100400
1915,183703.9
1916,175564
1917,188677.5
1918,130090
1919,152925
1920,210484.1
1921,256475
1922,210113.2
1923,192240
1924,201673.2
1925,191850
1926,232659.3
1927,132165
1928,168095
1929,111810
1930,147740
1931,110510
1932,139590
1933,179445
1934,172850
1935,172940
1936,168590
1937,218758.3
1938,188773.2
1939,156159.6
1940,110548
1941,197873.5
1942,211671
1943,105514.6
1944,239466.7
1945,243678.5
1946,250760
1947,191210
1948,283725
1949,197840
1950,130425
1951,198980
1952,246563.2
1953,157270
1954,201315
1955,145450
1956,291673.2
1957,216023.3
1958,251020
1959,174404
1960,130605
1961,113640
1962,100990
1963,97140
1964,102800
1965,138450
1966,164006.5
1967,187680
1968,288927.6
1969,265799.8
1970,298145
1971,294651.9
1972,263425
1973,193700
1974,241625
1975,246241
1976,176140
1977,250274
1978,273622.4
1979,210447.1
1980,206310.8
1981,177720
1982,145214.6
1983,119012.1
1984,139540
1985,167827.9
1986,172017.9
1987,156339.6
1988,171384
1989,181190
1990,177812.2
1991,160780
1992,181970
1993,167085
1994,253703.2
1995,159912.2
1996,206800
1997,215300
1998,211975
1999,236365
2000,262039.8
2001,188137.5
2002,192745
2003,148030
2004,179850
2005,171410
2006,187402
2007,212174.3
2008,151915
2009,171117.5
2010,199308.7
2011,160055
2012,140346.7
2013,151762.2
2014,189709
2015,224291
2016,173002.2
2017,185039
2018,109950
2019,112048.3
2020,126404.1
2021,111325
2022,207847
2023,194975
2024,270127.7
2025,241600
2026,184884.5
2027,148938.5
2028,149388.9
2029,156790
2030,187240
2031,165040
2032,175180
2033,180653.9
2034,148340
2035,170940
2036,146750
2037,152650
2038,152883.9
2039,157629.1
2040,227537.5
2041,224060
2042,169355
2043,161250
2044,219470
2045,215518.5
2046,198349.8
2047,159440
2048,111940
2049,200580
2050,184018.7
2051,137560
2052,133342.5
2053,147114.1
2054,110270
2055,180417
2056,159512.7
2057,126920
2058,240957.8
2059,138190
2060,177930
2061,192745
2062,132215
2063,129110
2064,138758.2
2065,131805
2066,245923
2067,204823.7
2068,222790.1
2069,107070
2070,135075
2071,95138
2072,155504.1
2073,124525
2074,147789.1
2075,140410
2076,113370
2077,152870
2078,127990
2079,147380
2080,107125
2081,145240
2082,197368
2083,149140
2084,107540
2085,151410
2086,128242.5
2087,126745
2088,128283.4
2089,88870
2090,122480
2091,176473.5
2092,156885
2093,164640
2094,94088
2095,151175
2096,118227.9
2097,104670
2098,152394
2099,108210
2100,215510.8
2101,173344
2102,116160
2103,110045
2104,201450
2105,123170
2106,150473.5
2107,240000
2108,128842.5
2109,119025
2110,118025
2111,156945
2112,144350
2113,118990
2114,103410
2115,128875
2116,103640
2117,123170
2118,123240
2119,93458
2120,109550
2121,98560
2122,113490
2123,105140
2124,139495
2125,139495
2126,179140
2127,154590
2128,130313.4
2129,97925
2130,169722.5
2131,145241.6
2132,140340
2133,108000
2134,144050
2135,110995
2136,140340
2137,127210.7
2138,147255
2139,148920
2140,125440
2141,132090
2142,121227.5
2143,131055
2144,158655
2145,130195
2146,171710
2147,199880
2148,124900
2149,121790
2150,210147
2151,109220
2152,207847
2153,168040
2154,125755
2155,130490
2156,275047
2157,173090
2158,222691
2159,198800
2160,141625
2161,209587.9
2162,286581.3
2163,177375
2164,167715.5
2165,216631.8
2166,130090
2167,156860
2168,189438.7
2169,168954
2170,201010
2171,144240
2172,132413.2
2173,257423
2174,220590
2175,191790
2176,257862.2
2177,246030
2178,176300
2179,126425
2180,194340
2181,171739.8
2182,210484.1
2183,163169.5
2184,138045
2185,128360
2186,144890
2187,121292.5
2188,158080
2189,283725
2190,100937.1
2191,135624.4
2192,123200
2193,147490
2194,109380
2195,128340
2196,152130
2197,111548
2198,145587.2
2199,162760
2200,145701.5
2201,206731.5
2202,166405
2203,149700
2204,190850
2205,138640
2206,141240
2207,166650
2208,230971.9
